%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1662431792729974031,278,1662431792729974031,odom_ekf,base_link,0.0156136285514,0.00381233356893,-0.0397349670529,0.001602400242,-0.0123969280385,0.00178197063885,0.999920283357,0.000929734084234,0.0,0.0,0.0,0.0,0.0,0.0,0.000929734084234,0.0,0.0,0.0,0.0,0.0,0.0,0.000929734084234,0.0,0.0,0.0,0.0,0.0,0.0,9.29734084234e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.29734084234e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.29734084234e-05,0.212977617979,0.197029620409,-0.961451649666,-0.0209235139191,-0.154837936163,-0.099120311439,0.000464867042117,0.0,0.0,0.0,0.0,0.0,0.0,0.000464867042117,0.0,0.0,0.0,0.0,0.0,0.0,0.000464867042117,0.0,0.0,0.0,0.0,0.0,0.0,4.64867042117e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.64867042117e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.64867042117e-05
1662431792822094917,279,1662431792822094917,odom_ekf,base_link,-0.000838179141283,-0.0157792381942,-0.00561495497823,0.000546690583792,-0.00925884937834,0.00841606486286,0.999921569269,0.00170928351848,0.0,0.0,0.0,0.0,0.0,0.0,0.00170928351848,0.0,0.0,0.0,0.0,0.0,0.0,0.00170928351848,0.0,0.0,0.0,0.0,0.0,0.0,0.000170928351848,0.0,0.0,0.0,0.0,0.0,0.0,0.000170928351848,0.0,0.0,0.0,0.0,0.0,0.0,0.000170928351848,-0.170098140836,-0.210855916142,0.375384747982,-0.0205569621176,0.0685342922807,0.144130542874,0.00085464175924,0.0,0.0,0.0,0.0,0.0,0.0,0.00085464175924,0.0,0.0,0.0,0.0,0.0,0.0,0.00085464175924,0.0,0.0,0.0,0.0,0.0,0.0,8.5464175924e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.5464175924e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.5464175924e-05
1662431792932850838,280,1662431792932850838,odom_ekf,base_link,-0.0012471396476,-0.00346316955984,-0.0194887667894,-0.00348280751685,-0.00683799115568,0.00548362583744,0.999955519899,0.00137843219929,0.0,0.0,0.0,0.0,0.0,0.0,0.00137843219929,0.0,0.0,0.0,0.0,0.0,0.0,0.00137843219929,0.0,0.0,0.0,0.0,0.0,0.0,0.000137843219929,0.0,0.0,0.0,0.0,0.0,0.0,0.000137843219929,0.0,0.0,0.0,0.0,0.0,0.0,0.000137843219929,-0.00414141546935,0.111129023135,-0.12531375885,-0.0730094388127,0.0440892986953,-0.0524833090603,0.000689216099647,0.0,0.0,0.0,0.0,0.0,0.0,0.000689216099647,0.0,0.0,0.0,0.0,0.0,0.0,0.000689216099647,0.0,0.0,0.0,0.0,0.0,0.0,6.89216099647e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.89216099647e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.89216099647e-05
1662431793024972439,281,1662431793024972439,odom_ekf,base_link,0.00929107982665,-0.0296623073518,-0.0375888049603,-0.00535075464343,-0.00995814596203,0.00826952137063,0.999901905074,0.00131840073557,0.0,0.0,0.0,0.0,0.0,0.0,0.00131840073557,0.0,0.0,0.0,0.0,0.0,0.0,0.00131840073557,0.0,0.0,0.0,0.0,0.0,0.0,0.000131840073557,0.0,0.0,0.0,0.0,0.0,0.0,0.000131840073557,0.0,0.0,0.0,0.0,0.0,0.0,0.000131840073557,0.108565188944,-0.284239143133,-0.199985072017,-0.0407033748925,-0.0676199048758,0.060655336827,0.000659200367786,0.0,0.0,0.0,0.0,0.0,0.0,0.000659200367786,0.0,0.0,0.0,0.0,0.0,0.0,0.000659200367786,0.0,0.0,0.0,0.0,0.0,0.0,6.59200367786e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.59200367786e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.59200367786e-05
1662431793116859198,282,1662431793116859198,odom_ekf,base_link,0.0117732863873,0.0086810477078,-0.021979438141,-0.000499208650603,-0.00876793335009,0.00143501675348,0.999960406647,0.000428180345823,0.0,0.0,0.0,0.0,0.0,0.0,0.000428180345823,0.0,0.0,0.0,0.0,0.0,0.0,0.000428180345823,0.0,0.0,0.0,0.0,0.0,0.0,4.28180345823e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.28180345823e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.28180345823e-05,0.0373179987073,0.41491869092,0.173688814044,0.104148179293,0.0265554245561,-0.149544104934,0.000214090172912,0.0,0.0,0.0,0.0,0.0,0.0,0.000214090172912,0.0,0.0,0.0,0.0,0.0,0.0,0.000214090172912,0.0,0.0,0.0,0.0,0.0,0.0,2.14090172912e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.14090172912e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.14090172912e-05
1662431793208817959,283,1662431793208817959,odom_ekf,base_link,-0.014478771016,-0.0073251388967,0.00234640389681,-0.000573156727075,-0.00627783941467,0.0079082178652,0.999948858849,0.00120418454275,0.0,0.0,0.0,0.0,0.0,0.0,0.00120418454275,0.0,0.0,0.0,0.0,0.0,0.0,0.00120418454275,0.0,0.0,0.0,0.0,0.0,0.0,0.000120418454275,0.0,0.0,0.0,0.0,0.0,0.0,0.000120418454275,0.0,0.0,0.0,0.0,0.0,0.0,0.000120418454275,-0.281294196844,-0.173511445522,0.269326001406,5.39547836524e-05,0.0540852658451,0.140822321177,0.000602092271377,0.0,0.0,0.0,0.0,0.0,0.0,0.000602092271377,0.0,0.0,0.0,0.0,0.0,0.0,0.000602092271377,0.0,0.0,0.0,0.0,0.0,0.0,6.02092271377e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.02092271377e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.02092271377e-05
1662431793317404270,284,1662431793317404270,odom_ekf,base_link,0.0163016505539,0.0254753679037,-0.0184360407293,-0.000796595309499,-0.0111057124587,-0.000348881057252,0.999937951509,0.000453447429033,0.0,0.0,0.0,0.0,0.0,0.0,0.000453447429033,0.0,0.0,0.0,0.0,0.0,0.0,0.000453447429033,0.0,0.0,0.0,0.0,0.0,0.0,4.53447429033e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.53447429033e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.53447429033e-05,0.285785615444,0.297787815332,-0.194621026516,-0.00503995642066,-0.0888442993164,-0.152078568935,0.000226723714516,0.0,0.0,0.0,0.0,0.0,0.0,0.000226723714516,0.0,0.0,0.0,0.0,0.0,0.0,0.000226723714516,0.0,0.0,0.0,0.0,0.0,0.0,2.26723714516e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.26723714516e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.26723714516e-05
1662431793409489393,285,1662431793409489393,odom_ekf,base_link,0.0249446667731,0.0347676090896,-0.0481373891234,0.0029176859724,-0.0125943675533,-0.00300480560188,0.9999119162,0.000859202941032,0.0,0.0,0.0,0.0,0.0,0.0,0.000859202941032,0.0,0.0,0.0,0.0,0.0,0.0,0.000859202941032,0.0,0.0,0.0,0.0,0.0,0.0,8.59202941032e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.59202941032e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.59202941032e-05,0.0866033434868,0.101487576962,-0.324385344982,0.0801229998469,-0.0320460349321,-0.0587211325765,0.000429601470516,0.0,0.0,0.0,0.0,0.0,0.0,0.000429601470516,0.0,0.0,0.0,0.0,0.0,0.0,0.000429601470516,0.0,0.0,0.0,0.0,0.0,0.0,4.29601470516e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.29601470516e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.29601470516e-05
1662431793501642227,286,1662431793501642227,odom_ekf,base_link,0.0377095639706,0.0719552636147,-0.0727935582399,-0.003025557023,-0.0146986192791,-0.0127845964032,0.999805656461,0.00211334404961,0.0,0.0,0.0,0.0,0.0,0.0,0.00211334404961,0.0,0.0,0.0,0.0,0.0,0.0,0.00211334404961,0.0,0.0,0.0,0.0,0.0,0.0,0.000211334404961,0.0,0.0,0.0,0.0,0.0,0.0,0.000211334404961,0.0,0.0,0.0,0.0,0.0,0.0,0.000211334404961,0.129283607006,0.402769953012,-0.273283243179,-0.131047144532,-0.0479730032384,-0.210199996829,0.00105667202481,0.0,0.0,0.0,0.0,0.0,0.0,0.00105667202481,0.0,0.0,0.0,0.0,0.0,0.0,0.00105667202481,0.0,0.0,0.0,0.0,0.0,0.0,0.000105667202481,0.0,0.0,0.0,0.0,0.0,0.0,0.000105667202481,0.0,0.0,0.0,0.0,0.0,0.0,0.000105667202481
1662431793594134808,287,1662431793594134808,odom_ekf,base_link,-0.002337384969,0.00671852380037,0.0164431035519,0.00050571699872,-0.00409895328016,0.00474356092935,0.999980220535,0.000820265107071,0.0,0.0,0.0,0.0,0.0,0.0,0.000820265107071,0.0,0.0,0.0,0.0,0.0,0.0,0.000820265107071,0.0,0.0,0.0,0.0,0.0,0.0,8.20265107071e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.20265107071e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.20265107071e-05,-0.386246353388,-0.721656680107,0.972523570061,0.0830073654652,0.227625116706,0.379480242729,0.000410132553536,0.0,0.0,0.0,0.0,0.0,0.0,0.000410132553536,0.0,0.0,0.0,0.0,0.0,0.0,0.000410132553536,0.0,0.0,0.0,0.0,0.0,0.0,4.10132553536e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.10132553536e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.10132553536e-05
